School Name,Index,has_search_index
Elgin Independent School District,Elgin,False
Elizabethton City Schools,594,True
Elk City Public Schools,326,False
Elk Rapids Schools,2387,True
Elkhart ISD,1307,True
Elkhorn Valley Schools,408,True
Elm Creek Public Schools,140,False
Eloy Elementary,2034,False
Elysian Fields ISD,2644,True
Emerson-Hubbard Public Schools,Emerson-Hubbard,True
Empire Public Schools,2494,True
Enid Public Schools,Enid,True
Ennis ISD,862,True
Epic Charter School,2685,True
Era ISD,846,False
Española Public Schools District #55,2123,False
Estacada School District,1566,False
Estancia Municipal Schools,2064,False
ESU 01,467,True
ESU 03,52,False
ESU 06,471,True
ESU 07,161,False
ESU 08,379,True
ESU 13,469,True
ESU 15,220,False
ESU 16,374,True
ESUCC,132,False
Eufaula Public Schools,2637,True
Eugene School District 4J,1549,True
Eureka USD 389,2660,True
Eustace ISD,722,True
Evadale ISD,2044,False
Evanston Township High School District 202,1479,False
Evanston/Skokie School District 65,1247,True
Evansville Vanderburgh Public Library,2017,False
Evant ISD,1843,False
Evergreen Park Elementary SD124,1748,False
Everman ISD,1454,False
Fabens ISD,1346,False
Fairbury Public Schools,75,False
Fairfield ISD,695,False
Faith Family Academy,2407,True
Falls City ISD,1937,False
FALLS Education CO-OP,1291,False
Faribault Public Schools,1125,False
Farmersville ISD,1008,False
Farmington Municipal Schools,1154,False
Farmington Public Schools,1087,False
Fayetteville Independent School District,1064,False
FENTON COMMUNITY HIGH SCHOOL DISTRICT 100,1427,False
Fern Ridge SD 28J,1535,True
Ferndale Public Schools,1323,False
Ferris ISD,2326,False
Fillmore Central Public Schools,180,False
Fillmore County,FillmoreCounty,False
First 5 LA,2038,True
First 5 Riverside,2119,True
Flat Rock Community Schools,1609,False
Flatonia ISD,1774,False
Flint Community Schools,1324,False
Flinthills USD 492,2603,True
Floodwood School District #698,1132,False
Florence Independent School District,677,False
Floresville ISD,1706,False
Flour Bluff Independent School District,1439,True
Flowing Wells Schools,1607,False
Floydada Collegiate ISD,2287,False
Foley ISD 51,1823,False
Follett ISD,2021,False
Forest Grove School District,3194,True
Forest Hills Public Schools,691,False
Forest Lake Area Schools,1059,False
Forney ISD,637,True
Forrest County School District,1740,False
Forrestville Valley School District 221,1249,False
Forsan ISD,834,False
Fort Bend Independent School District,649,False
Fort Calhoun Community Schools,151,False
Fort Cherry School District,2141,False
Fort Elliott CISD,2803,True
Fort Gibson Public Schools,fortgibson,True
Fort Hancock Independent School District,2300,False
Fort Sam Houston ISD,1984,False
Fort Smith Public Schools,1150,False
Fort Worth ISD,733,True
