LEA_NAME,LEAID,STATENAME,query_url
BROOKLYN EAST COLLEGIATE CHARTER SCHOOL,3601033,NEW YORK,https://go.boarddocs.com/ca/esuhsd/Board.nsf/Public
BATTLE LAKE PUBLIC SCHOOL DISTRICT,2703750,MINNESOTA,https://go.boarddocs.com/mi/bsdmi/Board.nsf/Public
JAL,3501350,NEW MEXICO,https://go.boarddocs.com/ca/smusd/Board.nsf/Public
Mariana Bracetti Academy CS,4200079,PENNSYLVANIA,https://go.boarddocs.com/pa/wche/Board.nsf/Public
NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,4801421,TEXAS,https://go.boarddocs.com/vsba/arlington/Board.nsf/Public
West Forks Plt Public Schools,2300058,MAINE,https://go.boarddocs.com/sc/greenville/Board.nsf/Public
Wyoming Area SD,4226730,PENNSYLVANIA,https://go.boarddocs.com/pa/wyom/Board.nsf/Public
Duchesne District,4900240,UTAH,https://go.boarddocs.com/ut/canyons/Board.nsf/Public
Stafford School District,904290,CONNECTICUT,https://go.boarddocs.com/vsba/scpsva/Board.nsf/Public
GENESIS SCHOOL INC.,2900016,MISSOURI,https://go.boarddocs.com/nj/paulsboro/Board.nsf/Public
PRENTISS CO SCHOOL DIST,2803750,MISSISSIPPI,https://go.boarddocs.com/mabe/hcpssmd/Board.nsf/Public
Mill River Unified Union Supervisory District,5099933,VERMONT,https://go.boarddocs.com/ca/lvusd/Board.nsf/Public
Bucks County Montessori CS,4200069,PENNSYLVANIA,https://go.boarddocs.com/pa/cbuc/Board.nsf/Public
Victor Elementary,641040,CALIFORNIA,https://go.boarddocs.com/ca/vesd/Board.nsf/Public
Round Valley Unified District (4155),407130,ARIZONA,https://go.boarddocs.com/ca/taft/Board.nsf/Public
Intrinsic 2 Charter High School,1701438,ILLINOIS,https://go.boarddocs.com/il/ctpf/Board.nsf/Public
