LEA_NAME,simbli_id,LEAID
Hyde County Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=480,3702280
FORSYTH R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=491,2912240
BRANSON R-IV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=492,2905760
HOLLISTER R-V,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=493,2914550
SUCCESS R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=496,2929730
HOUSTON R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=497,2914840
SUMMERSVILLE R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=498,2929810
LICKING R-VIII,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=499,2918600
CABOOL R-IV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=500,2906430
NEVADA R-V,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=503,2921840
BRONAUGH R-VII,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=504,2905910
Richmond County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=507,1304380
WARREN CO. R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=508,2931050
KINGSTON K-14,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=509,2931140
POTOSI R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=510,2925500
RICHWOODS R-VII,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=511,2931230
GREENVILLE R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=513,2913380
FORDLAND R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=516,2912180
HARTVILLE R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=521,2913770
MOUNTAIN GROVE R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=522,2921510
Nash County Public Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=640,3703270
Orange County Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=680,3703480
Pitt County Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=740,3700012
Rowan-Salisbury Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=800,3704050
Sampson County Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=820,3704140
Vance County Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=910,3704650
Thomasville City,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=920,1304950
Washington County Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=940,3704800
Toombs County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1020,1305040
Bennett County School District 03-1,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1058,4606240
Burke School District 26-2,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1071,4609512
Castlewood School District 28-1,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1075,4611280
Deuel School District 19-4,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1094,4600036
Dupree School District 64-2,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1097,4619450
Twiggs County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1104,1305220
Frederick Area School District 06-2,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1105,4621400
Gregory School District 26-4,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1124,4629880
Haakon School District 27-1,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1126,4630490
Howard School District 48-3,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1140,4600025
Warren County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1146,1305460
Wayne County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1150,1305550
Leola School District 44-2,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1158,4641640
McIntosh School District 15-1,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1166,4646260
Redfield School District 56-4,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1198,4660450
Sisseton School District 54-2,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1209,4600053
Waubay School District 18-3,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1236,4676680
Worth County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=1262,1305850
