simbli_id,LEAID,LEA_NAME
36030196,601773,Plumas Charter District
36030198,637110,Solvang Elementary
36030199,637290,Soquel Union Elementary
36030200,636800,Sierra Sands Unified
36030201,636810,Silver Fork Elementary
36030202,691041,Stanislaus County Office of Education
36030203,638460,Sunnyvale
36030204,641610,Washington Union Elementary
36030205,691041,Stanislaus County Office of Education
36030206,641790,Waugh Elementary
36030207,638010,Stockton Unified
36030208,621480,Lewiston Elementary
36030209,691032,San Luis Obispo County Office of Education
36030210,638130,Strathmore Union Elementary
36030211,637200,Sonoma Valley Unified
36030212,616740,Hayward Unified
36030213,626640,Napa Valley Unified
36030214,638340,Sundale Union Elementary
36030215,619890,Kit Carson Union Elementary
36030216,638520,Surprise Valley Joint Unified
36030217,600035,Farmersville Unified
36030219,619950,Klamath-Trinity Joint Unified
36030221,638640,Sweetwater Union High
36030222,602430,Alvord Unified
36030223,638730,Taft Union High
36030224,600069,Valley Center-Pauma Unified
36030225,638980,Temple City Unified
36030226,623080,Lucia Mar Unified
36030227,600034,Windsor Unified
36030228,638980,Temple City Unified
36030229,605580,Santa Maria-Bonita
36030230,639300,Tipton Elementary
36030231,635010,San Miguel Joint Union
36030232,601331,Trinity Alps Unified
36030233,639930,Tulare Joint Union High
36030234,641400,Wasco Union Elementary
36030235,604620,Benicia Unified
36030236,612330,Elk Grove Unified
36030237,601423,Exeter Unified
36030238,613800,Fillmore Unified
36030239,601426,Bonsall Unified
36030240,601426,Bonsall Unified
36030241,604260,Beardsley Elementary
36030242,639870,Tulare City
36030243,614760,Fullerton Joint Union High
36030244,614820,Galt Joint Union High
36030245,639940,Tulelake Basin Joint Unified
36030246,615180,Gilroy Unified
36030247,614950,Gateway Unified
36030248,601409,Bishop Unified
36030249,615180,Gilroy Unified
36030250,640260,Two Rock Union
36030252,605820,Brawley Union High
36030254,624090,Marysville Joint Unified
36030255,600016,Upland Unified
36030256,624150,Maxwell Unified
36030257,601442,Upper Lake Unified
36030258,616680,Hawthorne
36030259,616830,Heber Elementary
36030260,616920,Hemet Unified
36030261,691135,Val Verde Unified
36030262,624330,McKittrick Elementary
36030263,617340,Hollister
36030264,618210,Imperial Unified
36030265,618390,Inglewood Unified
36030266,640680,Vallecito Union
36030267,684500,Irvine Unified
36030268,606690,Butteville Union Elementary
36030269,625110,Mission Union Elementary
36030270,618930,Jefferson Union High
36030271,625190,Modoc Joint Unified
36030272,640980,Ventura Unified
36030273,618990,John Swett Unified
36030274,641190,Vista Unified
36030275,607500,Carlsbad Unified
36030276,636972,Victor Valley Union High
36030277,641190,Vista Unified
36030278,625690,Moorpark Unified
36030279,625740,Moraga Elementary
36030280,620040,Knightsen Elementary
36030281,600042,Warner Unified
36030282,620130,La Canada Unified
36030283,620610,Lake Elementary
36030285,600027,Lake Elsinore Unified
36030286,642140,Western Placer Unified
36030287,620640,Lake Tahoe Unified
36030288,620850,Lamont Elementary
36030289,642300,Westwood Unified
36030290,608760,Claremont Unified
36030291,642350,Wheatland Union High
36030292,622380,Las Lomitas Elementary
36030293,621060,Lassen Union High
36030294,642540,Williams Unified
36030295,621330,Lemon Grove
36030296,642560,Willits Unified
36030297,621360,Lemoore Union Elementary
36030298,642710,Willows Unified
36030299,621420,Lennox
36030300,627060,Newark Unified
36030301,621810,Linden Unified
36030302,609570,Colusa Unified
36030303,609620,Compton Unified
36030304,622590,Los Alamitos Unified
36030305,609810,Corning Union High
36030307,622800,Los Gatos-Saratoga Union High
36030309,609870,Coronado Unified
36030311,609990,Cottonwood Union Elementary
36030313,622890,Los Nietos
36030315,600015,Lucerne Valley Unified
36030317,610350,Cutler-Orosi Joint Unified
36030319,623530,Mammoth Unified
36030321,624030,Martinez Unified
36030322,600038,Mattole Unified
36030325,624180,McCabe Union Elementary
36030329,624540,Menifee Union
36030330,601398,Metropolitan Education
36030331,628530,Orange Center
36030332,624900,Millbrae Elementary
36030333,624500,Milpitas Unified
36030334,625230,Mojave Unified
36030335,625800,Moreno Valley Unified
36030336,625830,Morgan Hill Unified
36030337,625860,Morongo Unified
36030338,600029,Murrieta Valley Unified
36030339,630180,Perris Elementary
36030341,600036,Natomas Unified
36030343,626760,Needles Unified
36030344,630360,Pierce Joint Unified
36030345,626880,Nevada Joint Union High
36030346,627180,Newhall
36030347,627240,Newport-Mesa Unified
36030348,627590,North Monterey County Unified
36030349,611700,Dunsmuir Joint Union High
36030350,611700,Dunsmuir Joint Union High
36030351,627720,Novato Unified
36030352,627780,Nuview Union
36030353,616620,Harmony Union Elementary
36030354,620460,Pacifica
36030355,629550,Palm Springs Unified
36030356,631710,Ramona City Unified
36030357,631620,Princeton Joint Unified
36030358,629640,Palo Verde Unified
36030359,617430,Holtville Unified
36030360,629700,Palos Verdes Peninsula Unified
36030361,612690,Empire Union Elementary
36030362,606390,Panama-Buena Vista Union
36030363,600032,Redondo Beach Unified
36030364,629820,Paradise Unified
36030365,629910,Parlier Unified
36030366,632250,Reeds Creek Elementary
36030367,632270,Reef-Sunset Unified
36030368,600048,Paso Robles Joint Unified
36030369,630030,Patterson Joint Unified
36030370,600001,Acton-Agua Dulce Unified
36030371,618510,Island Union Elementary
36030372,632370,Rialto Unified
36030373,100189,Satsuma City
36030374,601710,Adelanto Elementary
36030375,632400,Richfield Elementary
36030376,630750,Placer Union High
36030377,632610,Rim of the World Unified
36030378,601860,Albany City Unified
36030379,619320,Kelseyville Unified
36030380,630990,Pleasant Valley
36030381,601890,Alexander Valley Union Elementary
36030382,600020,Pleasanton Unified
36030383,602010,Alpaugh Unified
36030384,631180,Plumas Lake Elementary
36030385,619540,Kern High
36030386,600040,Riverdale Joint Unified
36030387,631290,Pollock Pines Elementary
